candidate_id,source_scope,symbol,timeframe,swing_degree,review_category,start_time,end_time,visible_window_range,count_window_range,count_move_abs,prominence_vs_window,move_prominence_vs_window,count_bars,visible_window_bars,duration_vs_window,relative_structure_size,scale_fit_label,scale_notes,chart_path
partial_123_exp252_index_aus200_h4_minor_partial123_001,h4_d1,AUS200,H4,minor,partial_123,2025-08-13 04:00:00,2025-08-25 00:00:00,847.5,238.98000000000138,191.48000000000138,0.281982,0.225935,48,900,0.053333,small,not_applicable,not_applicable: prominence=0.282; duration=0.053; degree=minor; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_004,h4_d1,AUDJPY.r,H4,minor,partial_123,2025-08-27 00:00:00,2025-09-03 16:00:00,19.557000000000002,1.7550000000000097,1.0889999999999986,0.089738,0.055683,35,900,0.038889,small,not_applicable,not_applicable: prominence=0.090; duration=0.039; degree=minor; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png
partial_123_exp252_forex_audjpy_h4_major_partial123_002,h4_d1,AUDJPY.r,H4,major,partial_123,2025-08-20 16:00:00,2025-09-12 12:00:00,19.557000000000002,4.021000000000001,3.489999999999995,0.205604,0.178453,102,900,0.113333,medium_small,not_applicable,not_applicable: prominence=0.206; duration=0.113; degree=major; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png
partial_123_exp252_metals_xagusd_h4_major_partial123_002,h4_d1,XAGUSD.r,H4,major,partial_123,2025-08-20 08:00:00,2025-09-03 16:00:00,84.662,4.506,4.253999999999998,0.053223,0.050247,63,900,0.07,small,not_applicable,not_applicable: prominence=0.053; duration=0.070; degree=major; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png
partial_123_exp252_index_aus200_h4_major_partial123_001,h4_d1,AUS200,H4,major,partial_123,2025-08-13 04:00:00,2025-08-25 00:00:00,847.5,238.98000000000138,191.48000000000138,0.281982,0.225935,48,900,0.053333,small,not_applicable,not_applicable: prominence=0.282; duration=0.053; degree=major; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\023_partial_123_exp252_index_aus200_h4_major_partial123_001.png
partial_123_exp252_forex_audjpy_h4_major_partial123_005,h4_d1,AUDJPY.r,H4,major,partial_123,2025-09-12 12:00:00,2025-10-01 16:00:00,19.557000000000002,1.3910000000000053,0.9029999999999916,0.071125,0.046173,80,900,0.088889,small,not_applicable,not_applicable: prominence=0.071; duration=0.089; degree=major; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\024_partial_123_exp252_forex_audjpy_h4_major_partial123_005.png
abc_exp252_forex_audjpy_h4_intermediate_abc_002,h4_d1,AUDJPY.r,H4,intermediate,abc,2025-08-20 16:00:00,2025-09-03 16:00:00,19.557000000000002,2.8940000000000055,2.245999999999995,0.147978,0.114844,61,900,0.067778,medium_small,not_applicable,not_applicable: prominence=0.148; duration=0.068; degree=intermediate; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\025_abc_exp252_forex_audjpy_h4_intermediate_abc_002.png
abc_exp252_metals_xagusd_h4_intermediate_abc_002,h4_d1,XAGUSD.r,H4,intermediate,abc,2025-08-20 08:00:00,2025-09-01 08:00:00,84.662,3.797000000000004,3.6409999999999982,0.044849,0.043006,49,900,0.054444,small,not_applicable,not_applicable: prominence=0.045; duration=0.054; degree=intermediate; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\026_abc_exp252_metals_xagusd_h4_intermediate_abc_002.png
abc_exp252_index_aus200_h4_intermediate_abc_001,h4_d1,AUS200,H4,intermediate,abc,2025-08-13 04:00:00,2025-08-25 00:00:00,847.5,238.98000000000138,191.48000000000138,0.281982,0.225935,48,900,0.053333,small,not_applicable,not_applicable: prominence=0.282; duration=0.053; degree=intermediate; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\027_abc_exp252_index_aus200_h4_intermediate_abc_001.png
abc_exp252_forex_audjpy_h4_intermediate_abc_004,h4_d1,AUDJPY.r,H4,intermediate,abc,2025-08-27 00:00:00,2025-09-12 12:00:00,19.557000000000002,2.882000000000005,2.3329999999999984,0.147364,0.119292,76,900,0.084444,medium_small,not_applicable,not_applicable: prominence=0.147; duration=0.084; degree=intermediate; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\028_abc_exp252_forex_audjpy_h4_intermediate_abc_004.png
