pivot_uid,symbol,timeframe,cut_number,as_of_bar_time,event_type,pivot_type,pivot_detected_at,lookahead_safe
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,high,2026-01-07T08:00:00,True
GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_accepted,high,2026-01-28T20:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-11-21T04:00:00,True
GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343,GBPUSD.r,H4,9,2026-02-23T08:00:00,persistent_accepted,low,2026-01-20T00:00:00,True
GBPUSD_r_H4_low_2026_02_19T16_00_00_1_3434,GBPUSD.r,H4,9,2026-02-23T08:00:00,candidate_seen,low,2026-02-20T16:00:00,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2026-01-07T08:00:00,True
GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,high,2026-01-28T20:00:00,True
GBPUSD_r_H4_high_2026_03_10T08_00_00_1_3483,GBPUSD.r,H4,10,2026-03-17T04:00:00,candidate_seen,high,2026-03-11T08:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2025-11-21T04:00:00,True
GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343,GBPUSD.r,H4,10,2026-03-17T04:00:00,persistent_seen,low,2026-01-20T00:00:00,True
GBPUSD_r_H4_low_2026_03_03T16_00_00_1_3253,GBPUSD.r,H4,10,2026-03-17T04:00:00,candidate_seen,low,2026-03-04T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,1,2025-08-25T08:00:00,candidate_seen,low,2025-08-21T16:00:00,True
US500_H4_high_2025_09_10T12_00_00_6559_29,US500,H4,2,2025-09-16T08:00:00,candidate_seen,high,2025-09-11T12:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,2,2025-09-16T08:00:00,persistent_accepted,low,2025-08-21T16:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,3,2025-10-08T08:00:00,candidate_seen,high,2025-10-06T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,3,2025-10-08T08:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,4,2025-10-30T04:00:00,persistent_accepted,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_21T16_00_00_6758_6,US500,H4,4,2025-10-30T04:00:00,candidate_seen,high,2025-10-22T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,4,2025-10-30T04:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,4,2025-10-30T04:00:00,candidate_seen,low,2025-10-13T20:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,5,2025-11-21T04:00:00,persistent_seen,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,5,2025-11-21T04:00:00,candidate_seen,high,2025-10-31T04:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,5,2025-11-21T04:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,5,2025-11-21T04:00:00,persistent_accepted,low,2025-10-13T20:00:00,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,5,2025-11-21T04:00:00,candidate_seen,low,2025-11-19T16:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,6,2025-12-15T04:00:00,persistent_seen,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,6,2025-12-15T04:00:00,persistent_accepted,high,2025-10-31T04:00:00,True
US500_H4_high_2025_12_05T16_00_00_6896_21,US500,H4,6,2025-12-15T04:00:00,candidate_seen,high,2025-12-08T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,6,2025-12-15T04:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,6,2025-12-15T04:00:00,persistent_seen,low,2025-10-13T20:00:00,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,6,2025-12-15T04:00:00,persistent_accepted,low,2025-11-19T16:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,7,2026-01-08T04:00:00,persistent_seen,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,7,2026-01-08T04:00:00,persistent_seen,high,2025-10-31T04:00:00,True
US500_H4_high_2025_12_05T16_00_00_6896_21,US500,H4,7,2026-01-08T04:00:00,persistent_accepted,high,2025-12-08T16:00:00,True
US500_H4_high_2025_12_26T16_00_00_6949_95,US500,H4,7,2026-01-08T04:00:00,candidate_seen,high,2025-12-29T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,7,2026-01-08T04:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,7,2026-01-08T04:00:00,persistent_seen,low,2025-10-13T20:00:00,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,7,2026-01-08T04:00:00,persistent_seen,low,2025-11-19T16:00:00,True
US500_H4_low_2025_12_18T04_00_00_6722_12,US500,H4,7,2026-01-08T04:00:00,candidate_seen,low,2025-12-19T04:00:00,True
US500_H4_low_2026_01_02T20_00_00_6827_1,US500,H4,7,2026-01-08T04:00:00,candidate_seen,low,2026-01-05T20:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,8,2026-01-30T04:00:00,persistent_seen,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,8,2026-01-30T04:00:00,persistent_seen,high,2025-10-31T04:00:00,True
US500_H4_high_2025_12_05T16_00_00_6896_21,US500,H4,8,2026-01-30T04:00:00,persistent_seen,high,2025-12-08T16:00:00,True
US500_H4_high_2025_12_26T16_00_00_6949_95,US500,H4,8,2026-01-30T04:00:00,persistent_accepted,high,2025-12-29T16:00:00,True
US500_H4_high_2026_01_13T12_00_00_7001_8,US500,H4,8,2026-01-30T04:00:00,candidate_seen,high,2026-01-14T12:00:00,True
US500_H4_high_2026_01_28T08_00_00_7017_68,US500,H4,8,2026-01-30T04:00:00,candidate_seen,high,2026-01-29T08:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,8,2026-01-30T04:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,8,2026-01-30T04:00:00,persistent_seen,low,2025-10-13T20:00:00,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,8,2026-01-30T04:00:00,persistent_seen,low,2025-11-19T16:00:00,True
US500_H4_low_2025_12_18T04_00_00_6722_12,US500,H4,8,2026-01-30T04:00:00,persistent_accepted,low,2025-12-19T04:00:00,True
