candidate_id,source_scope,symbol,timeframe,swing_degree,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,is_aus200_required_case,chart_path
abc_exp252_metals_xagusd_h4_major_abc_002,h4_d1,XAGUSD.r,H4,major,0.053223,0.07,small,not_applicable,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\034_abc_exp252_metals_xagusd_h4_major_abc_002.png
abc_exp252_index_aus200_h4_major_abc_001,h4_d1,AUS200,H4,major,0.281982,0.053333,small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\035_abc_exp252_index_aus200_h4_major_abc_001.png
abc_exp252_forex_audjpy_h4_major_abc_005,h4_d1,AUDJPY.r,H4,major,0.071125,0.088889,small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\036_abc_exp252_forex_audjpy_h4_major_abc_005.png
near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004,h4_d1,AUDJPY.r,H4,intermediate,0.147364,0.094444,medium_small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\037_near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004.png
near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004,h4_d1,XAGUSD.r,H4,intermediate,0.039935,0.048889,small,not_applicable,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\038_near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004.png
near_miss_exp252_index_aus200_h4_intermediate_impulse_001,h4_d1,AUS200,H4,intermediate,0.281982,0.081111,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\039_near_miss_exp252_index_aus200_h4_intermediate_impulse_001.png
near_miss_exp252_forex_audjpy_h4_minor_impulse_006,h4_d1,AUDJPY.r,H4,minor,0.134939,0.081111,medium_small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\040_near_miss_exp252_forex_audjpy_h4_minor_impulse_006.png
near_miss_exp252_metals_xagusd_h4_minor_impulse_006,h4_d1,XAGUSD.r,H4,minor,0.032376,0.035556,small,not_applicable,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\041_near_miss_exp252_metals_xagusd_h4_minor_impulse_006.png
near_miss_exp252_index_aus200_h4_minor_impulse_001,h4_d1,AUS200,H4,minor,0.281982,0.081111,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\042_near_miss_exp252_index_aus200_h4_minor_impulse_001.png
near_miss_exp252_forex_audjpy_h4_major_impulse_002,h4_d1,AUDJPY.r,H4,major,0.205604,0.173333,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\043_near_miss_exp252_forex_audjpy_h4_major_impulse_002.png
near_miss_exp252_metals_xagusd_h4_major_impulse_006,h4_d1,XAGUSD.r,H4,major,0.164607,0.224444,medium_small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\044_near_miss_exp252_metals_xagusd_h4_major_impulse_006.png
near_miss_exp252_index_aus200_h4_major_impulse_001,h4_d1,AUS200,H4,major,0.281982,0.081111,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\045_near_miss_exp252_index_aus200_h4_major_impulse_001.png
