count_id,example_id,group,symbol,timeframe,example_type,swing_degree,pattern_type,count_state,direction,start_pivot_id,end_pivot_id,start_time,end_time,count_detected_at,max_structural_detected_at_used,lookahead_safe,reason,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave4_retrace_of_wave3,wave5_length,wave5_extension_of_wave1,wave5_extension_of_wave3,abc_a_length,abc_b_retrace_of_a,abc_c_length,abc_c_vs_a,major_context_state,major_context_direction,major_context_alignment,major_context_last_pivot_id
index_gap_aus200_m30_abc_009,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,candidate_abc,bearish,9,12,2026-03-12 14:30:00,2026-03-13 11:00:00,2026-03-13 12:30:00,2026-03-13 12:30:00,True,basic ABC constraints satisfied,,,,,,,,,131.0,0.7732824427481,159.0,1.213740458015267,available,bearish,aligned,8
index_gap_aus200_m30_impulse_007,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bearish,7,12,2026-03-11 22:30:00,2026-03-13 11:00:00,2026-03-13 12:30:00,2026-03-13 12:30:00,True,wave 2 breaks wave 1 origin; wave 4 overlaps wave 1 territory,89.5,1.1620111731843576,131.0,1.4636871508379887,0.7732824427481,159.0,1.776536312849162,1.213740458015267,,,,,available,bearish,aligned,8
index_gap_aus200_m30_abc_010,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bullish,10,13,2026-03-12 18:00:00,2026-03-13 16:30:00,2026-03-13 18:00:00,2026-03-13 18:00:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum,,,,,,,,,101.30000000000109,1.5695952615991933,141.0,1.3919052319841902,available,bullish,aligned,9
index_gap_aus200_m30_impulse_008,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bullish,8,13,2026-03-12 06:30:00,2026-03-13 16:30:00,2026-03-13 18:00:00,2026-03-13 18:00:00,True,wave 2 breaks wave 1 origin; wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,104.0,1.2596153846153846,101.30000000000109,0.9740384615384721,1.5695952615991933,141.0,1.3557692307692308,1.3919052319841902,,,,,available,bullish,aligned,9
index_gap_aus200_m30_abc_011,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,ambiguous_count,bearish,11,14,2026-03-13 04:00:00,2026-03-13 22:30:00,2026-03-16 02:30:00,2026-03-16 02:30:00,True,C leg does not exceed A extreme,,,,,,,,,159.0,0.8867924528301887,114.0,0.7169811320754716,available,bearish,aligned,10
index_gap_aus200_m30_impulse_009,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,ambiguous_count,bearish,9,14,2026-03-12 14:30:00,2026-03-13 22:30:00,2026-03-16 02:30:00,2026-03-16 02:30:00,True,wave 4 overlaps wave 1 territory; wave 5 fails to exceed wave 3 extreme,131.0,0.7732824427481,159.0,1.213740458015267,0.8867924528301887,114.0,0.8702290076335878,0.7169811320754716,,,,,available,bearish,aligned,10
index_gap_aus200_m30_abc_012,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,ambiguous_count,bullish,12,15,2026-03-13 11:00:00,2026-03-16 03:30:00,2026-03-16 05:00:00,2026-03-16 05:00:00,True,C leg does not exceed A extreme,,,,,,,,,141.0,0.8085106382978723,89.10000000000036,0.6319148936170239,available,bullish,aligned,11
index_gap_aus200_m30_impulse_010,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bullish,10,15,2026-03-12 18:00:00,2026-03-16 03:30:00,2026-03-16 05:00:00,2026-03-16 05:00:00,True,wave 2 breaks wave 1 origin; wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory,101.30000000000109,1.5695952615991933,141.0,1.3919052319841902,0.8085106382978723,89.10000000000036,0.8795656465942685,0.6319148936170239,,,,,available,bullish,aligned,11
index_gap_aus200_m30_abc_013,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,ambiguous_count,bearish,13,16,2026-03-13 16:30:00,2026-03-16 12:30:00,2026-03-16 14:00:00,2026-03-16 14:00:00,True,C leg does not exceed A extreme,,,,,,,,,114.0,0.7815789473684243,86.0,0.7543859649122807,available,bearish,aligned,12
index_gap_aus200_m30_impulse_011,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bearish,11,16,2026-03-13 04:00:00,2026-03-16 12:30:00,2026-03-16 14:00:00,2026-03-16 14:00:00,True,wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory,159.0,0.8867924528301887,114.0,0.7169811320754716,0.7815789473684243,86.0,0.5408805031446541,0.7543859649122807,,,,,available,bearish,aligned,12
index_gap_aus200_m30_abc_014,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,candidate_abc,bullish,14,17,2026-03-13 22:30:00,2026-03-16 17:00:00,2026-03-16 18:30:00,2026-03-16 18:30:00,True,basic ABC constraints satisfied,,,,,,,,,89.10000000000036,0.9652076318742946,127.0,1.4253647586980862,available,bearish,opposed,12
index_gap_aus200_m30_impulse_012,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bullish,12,17,2026-03-13 11:00:00,2026-03-16 17:00:00,2026-03-16 18:30:00,2026-03-16 18:30:00,True,wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,141.0,0.8085106382978723,89.10000000000036,0.6319148936170239,0.9652076318742946,127.0,0.900709219858156,1.4253647586980862,,,,,available,bearish,opposed,12
index_gap_aus200_m30_abc_015,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bearish,15,18,2026-03-16 03:30:00,2026-03-17 06:00:00,2026-03-17 07:30:00,2026-03-17 07:30:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum,,,,,,,,,86.0,1.4767441860465116,89.0,1.0348837209302326,available,bearish,aligned,14
index_gap_aus200_m30_impulse_013,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bearish,13,18,2026-03-13 16:30:00,2026-03-17 06:00:00,2026-03-17 07:30:00,2026-03-17 07:30:00,True,wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,114.0,0.7815789473684243,86.0,0.7543859649122807,1.4767441860465116,89.0,0.7807017543859649,1.0348837209302326,,,,,available,bearish,aligned,14
