count_id,point_order,point_label,leg_label,example_id,symbol,timeframe,swing_degree,structural_pivot_id,pivot_type,pivot_extreme_time,pivot_detected_at,structural_detected_at,pivot_extreme_price,leg_start_price,leg_end_price,leg_length_abs,ratio_name,ratio_value
forex_clean_eurusd_h1_abc_009,2,B,B,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,11,low,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,1.14142,1.14565,1.14142,0.004229999999999956,abc_b_retrace_of_a,0.9235807860261855
forex_clean_eurusd_h1_abc_009,3,C,C,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,12,high,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,1.15249,1.14142,1.15249,0.011069999999999913,abc_c_vs_a,2.4170305676855555
forex_clean_eurusd_h1_abc_010,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,,1.14565,,,
forex_clean_eurusd_h1_abc_010,1,A,A,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,11,low,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,1.14142,1.14565,1.14142,0.004229999999999956,,
forex_clean_eurusd_h1_abc_010,2,B,B,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,12,high,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,1.15249,1.14142,1.15249,0.011069999999999913,abc_b_retrace_of_a,2.6170212765957515
forex_clean_eurusd_h1_abc_010,3,C,C,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,13,low,2026-03-17 04:00:00,2026-03-17 07:00:00,2026-03-17 07:00:00,1.14866,1.15249,1.14866,0.00383,abc_c_vs_a,0.9054373522458723
index_gap_aus200_m30_impulse_001,0,0,,index_gap_aus200_m30,AUS200,M30,intermediate,1,high,2026-03-09 22:30:00,2026-03-10 02:30:00,2026-03-10 02:30:00,8793.8,,8793.8,,,
index_gap_aus200_m30_impulse_001,1,1,wave_1,index_gap_aus200_m30,AUS200,M30,intermediate,2,low,2026-03-10 07:00:00,2026-03-10 09:00:00,2026-03-10 09:00:00,8647.5,8793.8,8647.5,146.29999999999927,,
index_gap_aus200_m30_impulse_001,2,2,wave_2,index_gap_aus200_m30,AUS200,M30,intermediate,3,high,2026-03-10 12:00:00,2026-03-10 13:30:00,2026-03-10 13:30:00,8749.5,8647.5,8749.5,102.0,wave2_retrace_of_wave1,0.6971975393028059
index_gap_aus200_m30_impulse_001,3,3,wave_3,index_gap_aus200_m30,AUS200,M30,intermediate,4,low,2026-03-10 17:00:00,2026-03-10 18:30:00,2026-03-10 18:30:00,8687.5,8749.5,8687.5,62.0,wave3_extension_of_wave1,0.4237867395762154
index_gap_aus200_m30_impulse_001,4,4,wave_4,index_gap_aus200_m30,AUS200,M30,intermediate,5,high,2026-03-10 20:00:00,2026-03-10 21:30:00,2026-03-10 21:30:00,8791.5,8687.5,8791.5,104.0,wave4_retrace_of_wave3,1.6774193548387097
index_gap_aus200_m30_impulse_001,5,5,wave_5,index_gap_aus200_m30,AUS200,M30,intermediate,6,low,2026-03-11 19:00:00,2026-03-11 20:30:00,2026-03-11 20:30:00,8628.8,8791.5,8628.8,162.70000000000073,wave5_extension_of_wave1,1.112098427887912
index_gap_aus200_m30_impulse_002,0,0,,index_gap_aus200_m30,AUS200,M30,intermediate,2,low,2026-03-10 07:00:00,2026-03-10 09:00:00,2026-03-10 09:00:00,8647.5,,8647.5,,,
index_gap_aus200_m30_impulse_002,1,1,wave_1,index_gap_aus200_m30,AUS200,M30,intermediate,3,high,2026-03-10 12:00:00,2026-03-10 13:30:00,2026-03-10 13:30:00,8749.5,8647.5,8749.5,102.0,,
index_gap_aus200_m30_impulse_002,2,2,wave_2,index_gap_aus200_m30,AUS200,M30,intermediate,4,low,2026-03-10 17:00:00,2026-03-10 18:30:00,2026-03-10 18:30:00,8687.5,8749.5,8687.5,62.0,wave2_retrace_of_wave1,0.6078431372549019
index_gap_aus200_m30_impulse_002,3,3,wave_3,index_gap_aus200_m30,AUS200,M30,intermediate,5,high,2026-03-10 20:00:00,2026-03-10 21:30:00,2026-03-10 21:30:00,8791.5,8687.5,8791.5,104.0,wave3_extension_of_wave1,1.0196078431372548
index_gap_aus200_m30_impulse_002,4,4,wave_4,index_gap_aus200_m30,AUS200,M30,intermediate,6,low,2026-03-11 19:00:00,2026-03-11 20:30:00,2026-03-11 20:30:00,8628.8,8791.5,8628.8,162.70000000000073,wave4_retrace_of_wave3,1.564423076923084
