chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_recent_breakout_marker,Ruptura reciente,53899.13537549407,,,,,#f7f7f7,marker,last_breakout_time|breakout_level,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_current_price_marker,Precio actual,53980.25,,,,,#f7f7f7,marker,close,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,r2,R2 previo,0.80874333,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,r3,R3 previo,0.81514667,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,s2,S2 previo,0.78908333,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,s3,S3 previo,0.78565667,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,previous_high,Maximo dia previo,0.80234,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,previous_low,Minimo dia previo,0.79251,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,round_level_1,Nivel redondo inferior,0.795,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|529,NZDCAD.r,H1,round_level_2,Nivel redondo superior,0.8,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
