timeframe,asset_1,asset_2,pair,metric,window,latest_corr,previous_corr,delta_prev,mean_corr,latest_abs,obs,is_read_only,can_execute_order,signals_generated
M15,AUDCAD.r,GBPJPY.r,AUDCAD.r | GBPJPY.r,dcor,96,0.32829,0.27682,0.05147,0.302555,0.32829,80,True,False,False
M15,AUDCAD.r,GBPNZD.r,AUDCAD.r | GBPNZD.r,pearson,96,-0.367795,-0.321815,-0.045981,-0.344805,0.367795,96,True,False,False
M15,AUDCAD.r,GBPNZD.r,AUDCAD.r | GBPNZD.r,spearman,96,-0.415038,-0.358574,-0.056464,-0.386806,0.415038,96,True,False,False
M15,AUDCAD.r,GBPNZD.r,AUDCAD.r | GBPNZD.r,kendall,96,-0.300252,-0.259897,-0.040355,-0.280075,0.300252,96,True,False,False
M15,AUDCAD.r,GBPNZD.r,AUDCAD.r | GBPNZD.r,dcor,96,0.452365,0.487658,-0.035293,0.470012,0.452365,80,True,False,False
M15,AUDCAD.r,GBPUSD.r,AUDCAD.r | GBPUSD.r,pearson,96,0.514488,0.630891,-0.116403,0.57269,0.514488,96,True,False,False
M15,AUDCAD.r,GBPUSD.r,AUDCAD.r | GBPUSD.r,spearman,96,0.576835,0.638918,-0.062082,0.607876,0.576835,96,True,False,False
M15,AUDCAD.r,GBPUSD.r,AUDCAD.r | GBPUSD.r,kendall,96,0.426409,0.467982,-0.041573,0.447196,0.426409,96,True,False,False
M15,AUDCAD.r,GBPUSD.r,AUDCAD.r | GBPUSD.r,dcor,96,0.57955,0.594302,-0.014752,0.586926,0.57955,80,True,False,False
M15,AUDCAD.r,GER40,AUDCAD.r | GER40,pearson,96,0.46124,0.530084,-0.068844,0.495662,0.46124,96,True,False,False
M15,AUDCAD.r,GER40,AUDCAD.r | GER40,spearman,96,0.566022,0.566766,-0.000744,0.566394,0.566022,96,True,False,False
M15,AUDCAD.r,GER40,AUDCAD.r | GER40,kendall,96,0.397193,0.399561,-0.002369,0.398377,0.397193,96,True,False,False
M15,AUDCAD.r,GER40,AUDCAD.r | GER40,dcor,96,0.587365,0.508105,0.07926,0.547735,0.587365,80,True,False,False
M15,AUDCAD.r,HK50,AUDCAD.r | HK50,pearson,96,0.449586,0.399965,0.049621,0.424776,0.449586,96,True,False,False
M15,AUDCAD.r,HK50,AUDCAD.r | HK50,spearman,96,0.587651,0.566902,0.020749,0.577276,0.587651,96,True,False,False
M15,AUDCAD.r,HK50,AUDCAD.r | HK50,kendall,96,0.415177,0.398684,0.016493,0.406931,0.415177,96,True,False,False
M15,AUDCAD.r,HK50,AUDCAD.r | HK50,dcor,96,0.572367,0.51572,0.056646,0.544044,0.572367,80,True,False,False
M15,AUDCAD.r,ITA40,AUDCAD.r | ITA40,pearson,96,0.414289,0.667899,-0.25361,0.541094,0.414289,96,True,False,False
M15,AUDCAD.r,ITA40,AUDCAD.r | ITA40,spearman,96,0.563607,0.663024,-0.099417,0.613316,0.563607,96,True,False,False
M15,AUDCAD.r,ITA40,AUDCAD.r | ITA40,kendall,96,0.40114,0.489747,-0.088606,0.445444,0.40114,96,True,False,False
M15,AUDCAD.r,ITA40,AUDCAD.r | ITA40,dcor,96,0.61341,0.567389,0.046021,0.590399,0.61341,80,True,False,False
M15,AUDCAD.r,JP225,AUDCAD.r | JP225,pearson,96,0.548145,0.568222,-0.020077,0.558184,0.548145,96,True,False,False
M15,AUDCAD.r,JP225,AUDCAD.r | JP225,spearman,96,0.628488,0.645831,-0.017343,0.63716,0.628488,96,True,False,False
M15,AUDCAD.r,JP225,AUDCAD.r | JP225,kendall,96,0.445005,0.461673,-0.016668,0.453339,0.445005,96,True,False,False
M15,AUDCAD.r,JP225,AUDCAD.r | JP225,dcor,96,0.615459,0.634855,-0.019395,0.625157,0.615459,80,True,False,False
M15,AUDCAD.r,LTCUSD,AUDCAD.r | LTCUSD,pearson,96,0.087093,0.208742,-0.12165,0.147918,0.087093,96,True,False,False
M15,AUDCAD.r,LTCUSD,AUDCAD.r | LTCUSD,spearman,96,-0.003819,0.287497,-0.291316,0.141839,0.003819,96,True,False,False
M15,AUDCAD.r,LTCUSD,AUDCAD.r | LTCUSD,kendall,96,-0.001974,0.201163,-0.203137,0.099594,0.001974,96,True,False,False
M15,AUDCAD.r,LTCUSD,AUDCAD.r | LTCUSD,dcor,96,0.248269,0.25978,-0.01151,0.254025,0.248269,80,True,False,False
M15,AUDCAD.r,NZDCAD.r,AUDCAD.r | NZDCAD.r,pearson,96,0.579935,0.874116,-0.29418,0.727025,0.579935,96,True,False,False
M15,AUDCAD.r,NZDCAD.r,AUDCAD.r | NZDCAD.r,spearman,96,0.721821,0.81583,-0.094009,0.768826,0.721821,96,True,False,False
M15,AUDCAD.r,NZDCAD.r,AUDCAD.r | NZDCAD.r,kendall,96,0.554227,0.651754,-0.097527,0.602991,0.554227,96,True,False,False
M15,AUDCAD.r,NZDCAD.r,AUDCAD.r | NZDCAD.r,dcor,96,0.68332,0.792093,-0.108773,0.737706,0.68332,80,True,False,False
M15,AUDCAD.r,NZDCHF.r,AUDCAD.r | NZDCHF.r,pearson,96,0.433088,0.399285,0.033802,0.416186,0.433088,96,True,False,False
M15,AUDCAD.r,NZDCHF.r,AUDCAD.r | NZDCHF.r,spearman,96,0.461484,0.439877,0.021607,0.45068,0.461484,96,True,False,False
M15,AUDCAD.r,NZDCHF.r,AUDCAD.r | NZDCHF.r,kendall,96,0.323387,0.324591,-0.001204,0.323989,0.323387,96,True,False,False
M15,AUDCAD.r,NZDCHF.r,AUDCAD.r | NZDCHF.r,dcor,96,0.492397,0.529028,-0.036631,0.510712,0.492397,80,True,False,False
M15,AUDCAD.r,NZDJPY.r,AUDCAD.r | NZDJPY.r,pearson,96,0.472879,0.630821,-0.157942,0.55185,0.472879,96,True,False,False
M15,AUDCAD.r,NZDJPY.r,AUDCAD.r | NZDJPY.r,spearman,96,0.438663,0.652428,-0.213765,0.545545,0.438663,96,True,False,False
M15,AUDCAD.r,NZDJPY.r,AUDCAD.r | NZDJPY.r,kendall,96,0.300943,0.47807,-0.177127,0.389507,0.300943,96,True,False,False
M15,AUDCAD.r,NZDJPY.r,AUDCAD.r | NZDJPY.r,dcor,96,0.481493,0.602949,-0.121456,0.542221,0.481493,80,True,False,False
M15,AUDCAD.r,NZDUSD.r,AUDCAD.r | NZDUSD.r,pearson,96,0.579262,0.752404,-0.173142,0.665833,0.579262,96,True,False,False
M15,AUDCAD.r,NZDUSD.r,AUDCAD.r | NZDUSD.r,spearman,96,0.648768,0.79707,-0.148302,0.722919,0.648768,96,True,False,False
M15,AUDCAD.r,NZDUSD.r,AUDCAD.r | NZDUSD.r,kendall,96,0.47571,0.601316,-0.125606,0.538513,0.47571,96,True,False,False
M15,AUDCAD.r,NZDUSD.r,AUDCAD.r | NZDUSD.r,dcor,96,0.64339,0.760301,-0.11691,0.701846,0.64339,80,True,False,False
M15,AUDCAD.r,RPLUSD,AUDCAD.r | RPLUSD,pearson,96,0.223853,0.343586,-0.119734,0.28372,0.223853,96,True,False,False
M15,AUDCAD.r,RPLUSD,AUDCAD.r | RPLUSD,spearman,96,0.089264,0.364419,-0.275156,0.226842,0.089264,96,True,False,False
M15,AUDCAD.r,RPLUSD,AUDCAD.r | RPLUSD,kendall,96,0.056366,0.248246,-0.19188,0.152306,0.056366,96,True,False,False
M15,AUDCAD.r,RPLUSD,AUDCAD.r | RPLUSD,dcor,96,0.228233,0.314628,-0.086395,0.27143,0.228233,80,True,False,False
M15,AUDCAD.r,SPA35,AUDCAD.r | SPA35,pearson,96,0.521571,0.586947,-0.065376,0.554259,0.521571,96,True,False,False
M15,AUDCAD.r,SPA35,AUDCAD.r | SPA35,spearman,96,0.589596,0.628176,-0.038581,0.608886,0.589596,96,True,False,False
M15,AUDCAD.r,SPA35,AUDCAD.r | SPA35,kendall,96,0.397368,0.452462,-0.055093,0.424915,0.397368,96,True,False,False
M15,AUDCAD.r,SPA35,AUDCAD.r | SPA35,dcor,96,0.584224,0.509496,0.074728,0.54686,0.584224,80,True,False,False
M15,AUDCAD.r,UK100,AUDCAD.r | UK100,pearson,96,0.462971,0.538059,-0.075088,0.500515,0.462971,96,True,False,False
M15,AUDCAD.r,UK100,AUDCAD.r | UK100,spearman,96,0.570303,0.571541,-0.001238,0.570922,0.570303,96,True,False,False
M15,AUDCAD.r,UK100,AUDCAD.r | UK100,kendall,96,0.394645,0.40614,-0.011496,0.400392,0.394645,96,True,False,False
