label,status,elapsed_seconds,error,rows_returned
gap_stats_US100_D1,ok,0.0429,,1
gap_examples_short_US100_D1,ok,0.0492,,0
gap_examples_session_US100_D1,ok,0.0576,,3
pair_summary_US30_M15,ok,4.5327,,1
gap_stats_US30_M15,ok,2.1903,,1
gap_examples_short_US30_M15,ok,2.2582,,3
gap_examples_session_US30_M15,ok,2.6063,,3
pair_summary_US30_M30,ok,3.1141,,1
gap_stats_US30_M30,ok,2.0479,,1
gap_examples_short_US30_M30,ok,1.8993,,3
gap_examples_session_US30_M30,ok,1.9906,,3
pair_summary_US30_H1,ok,1.3809,,1
gap_stats_US30_H1,ok,0.9406,,1
gap_examples_short_US30_H1,ok,1.2101,,3
gap_examples_session_US30_H1,ok,0.8311,,3
pair_summary_US30_H4,ok,0.3929,,1
gap_stats_US30_H4,ok,0.2893,,1
gap_examples_short_US30_H4,ok,0.2607,,3
gap_examples_session_US30_H4,ok,0.201,,3
pair_summary_US30_D1,ok,0.059,,1
gap_stats_US30_D1,ok,0.0408,,1
gap_examples_short_US30_D1,ok,0.0329,,0
gap_examples_session_US30_D1,ok,0.0462,,3
pair_summary_US500_M15,ok,4.1421,,1
gap_stats_US500_M15,ok,2.743,,1
gap_examples_short_US500_M15,ok,2.5911,,3
gap_examples_session_US500_M15,ok,2.373,,3
pair_summary_US500_M30,ok,2.6711,,1
gap_stats_US500_M30,ok,1.5381,,1
gap_examples_short_US500_M30,ok,1.8228,,3
gap_examples_session_US500_M30,ok,1.842,,3
pair_summary_US500_H1,ok,1.6642,,1
gap_stats_US500_H1,ok,1.0746,,1
gap_examples_short_US500_H1,ok,1.0299,,3
gap_examples_session_US500_H1,ok,1.1142,,3
pair_summary_US500_H4,ok,0.4983,,1
gap_stats_US500_H4,ok,0.2969,,1
gap_examples_short_US500_H4,ok,0.3398,,3
gap_examples_session_US500_H4,ok,0.2602,,3
pair_summary_US500_D1,ok,0.0527,,1
gap_stats_US500_D1,ok,0.0622,,1
gap_examples_short_US500_D1,ok,0.0443,,0
gap_examples_session_US500_D1,ok,0.05,,3
