symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
US100,Index,Index,H1,60,ok,,unique_index,0,35673,2020-02-28 01:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1574,1258,316,5880
US100,Index,Index,H4,240,ok,,unique_index,0,9340,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,344,28,316,6000
US100,Index,Index,D1,1440,ok,,unique_index,0,1561,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,320,0,320,7200
US30,Index,Index,M15,15,ok,,unique_index,0,103149,2021-10-27 15:00:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1198,969,229,5835
US30,Index,Index,M30,30,ok,,unique_index,0,71190,2020-02-28 01:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1584,1268,316,5850
US30,Index,Index,H1,60,ok,,unique_index,0,35668,2020-02-28 01:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1574,1258,316,5880
US30,Index,Index,H4,240,ok,,unique_index,0,9335,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,350,34,316,6000
US30,Index,Index,D1,1440,ok,,unique_index,0,1561,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,320,0,320,7200
US500,Index,Index,M15,15,ok,,unique_index,0,103149,2021-10-27 18:00:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1198,969,229,5835
US500,Index,Index,M30,30,ok,,unique_index,0,71201,2020-02-28 01:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1580,1264,316,5850
US500,Index,Index,H1,60,ok,,unique_index,0,35674,2020-02-28 01:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1570,1254,316,5880
US500,Index,Index,H4,240,ok,,unique_index,0,9335,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,349,33,316,6000
US500,Index,Index,D1,1440,ok,,unique_index,0,1561,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,320,0,320,7200
