example_id,group,symbol,timeframe,timestamp,open,high,low,close,ema_50,ema_150,ema_alignment,trend_state,transition_state,price_vs_ema_band,ema50_slope,ema150_slope,ema50_slope_pct,ema150_slope_pct,ema_separation_pct,ema_band_width_pct,ema_band_state,ewo_5_35,ewo_5_35_slope,ewo_5_35_direction,ewo_5_35_expanding,possible_momentum_confirmation,possible_momentum_loss,htf_ema_alignment,htf_trend_state,htf_transition_state,htf_price_vs_ema_band,htf_ema50_slope_pct,htf_ema150_slope_pct,htf_ema_separation_pct,htf_ema_band_width_pct,htf_ema_band_state,htf_ewo_5_35,htf_ewo_5_35_slope,htf_ewo_5_35_direction,htf_ewo_5_35_expanding,htf_possible_momentum_confirmation,htf_possible_momentum_loss,htf_context_source_time,htf_timeframe,htf_lookahead_safe
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-23 08:00:00,1913.69,1915.44,1880.22,1903.2,1835.167810041868,1752.4822497866412,bullish_alignment,bullish_alignment,no_transition,above_band,9.133001842361182,6.297723252173682,0.0047987609512196204,0.003309018102235016,0.04344554448046808,0.04344554448046808,expanding,68.97185714285752,25.934142857143343,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.015135790658197111,0.00988916664206512,0.12377806411528709,0.12377806411528709,compressing,147.13285714285712,-21.65285714285733,positive,False,False,True,2026-01-22,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-23 12:00:00,1903.2,1982.9,1897.4,1966.9,1840.3337782755204,1755.3222199881427,bullish_alignment,bullish_alignment,no_transition,above_band,11.261119417170448,7.054044798502446,0.005725313649484187,0.0035863769375679725,0.04322108815261464,0.04322108815261464,expanding,79.47742857142862,24.04471428571469,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.015135790658197111,0.00988916664206512,0.12377806411528709,0.12377806411528709,compressing,147.13285714285712,-21.65285714285733,positive,False,False,True,2026-01-22,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-23 16:00:00,1967.0,2026.4,1964.63,2001.6,1846.6579438333433,1758.5841773392933,bullish_alignment,bullish_alignment,no_transition,above_band,14.2669578713992,8.124984602495942,0.007127776714328137,0.004059244905323713,0.0440016819015038,0.0440016819015038,expanding,91.49500000000035,28.775000000000773,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.015135790658197111,0.00988916664206512,0.12377806411528709,0.12377806411528709,compressing,147.13285714285712,-21.65285714285733,positive,False,False,True,2026-01-22,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-23 20:00:00,2001.6,2032.04,1996.83,2008.5,1853.0046911339966,1761.8943206857928,bullish_alignment,bullish_alignment,no_transition,above_band,17.83688109212858,9.412070899151558,0.008880697581343579,0.004686119441947503,0.04536239504516,0.04536239504516,expanding,106.33342857142861,37.3615714285711,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.015135790658197111,0.00988916664206512,0.12377806411528709,0.12377806411528709,compressing,147.13285714285712,-21.65285714285733,positive,False,False,True,2026-01-22,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-26 00:00:00,1992.41,2070.59,1979.68,2050.55,1860.751565991487,1765.7175747164447,bullish_alignment,bullish_alignment,no_transition,above_band,20.417787715966597,10.395354728301982,0.009957224996204236,0.005069544623784829,0.0463456103362719,0.0463456103362719,expanding,123.86057142857157,44.38314285714296,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.016511413089947614,0.010166598582467596,0.12037909270077972,0.12037909270077972,compressing,170.3181428571429,13.998857142857105,positive,True,True,False,2026-01-23,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-26 04:00:00,2050.8,2088.7,2026.34,2054.5,1868.3495437957424,1769.5425075016574,bullish_alignment,bullish_alignment,no_transition,above_band,21.691599962399096,10.958330162364064,0.01055809197488396,0.005333818526339286,0.04809298432420785,0.04809298432420785,expanding,147.4254285714287,55.930428571428365,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.016511413089947614,0.010166598582467596,0.12037909270077972,0.12037909270077972,compressing,170.3181428571429,13.998857142857105,positive,True,True,False,2026-01-23,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-26 08:00:00,2052.6,2085.76,2030.31,2082.91,1876.7636793331644,1773.693070316205,bullish_alignment,bullish_alignment,no_transition,above_band,23.75898819916779,11.798749630412203,0.011406632163256113,0.005664550859332474,0.049483947466265686,0.049483947466265686,expanding,162.0895714285714,55.75614285714278,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.016511413089947614,0.010166598582467596,0.12037909270077972,0.12037909270077972,compressing,170.3181428571429,13.998857142857105,positive,True,True,False,2026-01-23,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-26 12:00:00,2083.14,2142.5,2080.5,2103.0,1885.6356919083346,1778.0547515040698,bullish_alignment,bullish_alignment,no_transition,above_band,24.88412591684755,12.33717678762514,0.011832679941439635,0.005866465424453228,0.051155939326802076,0.051155939326802076,expanding,174.6061428571427,50.74557142857111,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.016511413089947614,0.010166598582467596,0.12037909270077972,0.12037909270077972,compressing,170.3181428571429,13.998857142857105,positive,True,True,False,2026-01-23,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-26 16:00:00,2100.1,2165.77,2074.3,2159.55,1896.3774294805569,1783.1076687026914,bullish_alignment,bullish_alignment,no_transition,above_band,28.027885684814464,13.565161201034016,0.01297857687241067,0.00628147586350583,0.052450631278676337,0.052450631278676337,expanding,185.3368571428573,37.91142857142859,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.016511413089947614,0.010166598582467596,0.12037909270077972,0.12037909270077972,compressing,170.3181428571429,13.998857142857105,positive,True,True,False,2026-01-23,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-26 20:00:00,2159.55,2164.26,1915.8,1921.0,1897.3430204813194,1784.9340571966954,bullish_alignment,bullish_alignment,no_transition,above_band,20.57934114815498,11.240986880490482,0.010712827250471098,0.005851632941431797,0.058515858034681914,0.058515858034681914,expanding,181.26157142857141,19.172000000000025,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.016511413089947614,0.010166598582467596,0.12037909270077972,0.12037909270077972,compressing,170.3181428571429,13.998857142857105,positive,True,True,False,2026-01-23,D1,True
