chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,s2,S2 previo,111.611,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,s3,S3 previo,110.57,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,previous_high,Maximo dia previo,114.225,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,previous_low,Minimo dia previo,112.652,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,round_level_1,Nivel redondo inferior,110,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,round_level_2,Nivel redondo superior,115,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,fibonacci_0_0,Fib 0,112.257,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,fibonacci_1_0,Fib 100,114.225,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,fibonacci_0_236,Fib 23.6,112.72145,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,fibonacci_0_382,Fib 38.2,113.00878,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,fibonacci_0_5,Fib 50,113.241,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
