partial_id,example_id,group,symbol,timeframe,example_type,swing_degree,diagnostic_type,partial_status,direction,start_pivot_id,end_pivot_id,start_time,end_time,partial_detected_at,max_structural_detected_at_used,lookahead_safe,hard_reasons,soft_reasons,failure_reasons,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1
forex_clean_eurusd_h1_minor_partial123_019,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,19,22,2026-03-12 07:00:00,2026-03-13 04:00:00,2026-03-13 07:00:00,2026-03-13 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.0034199999999999786,1.769005847953195,0.0023999999999999577,0.7017543859649044
forex_clean_eurusd_h1_minor_partial123_020,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bearish,20,23,2026-03-12 14:00:00,2026-03-13 11:00:00,2026-03-13 14:00:00,2026-03-13 14:00:00,True,,,,0.006049999999999889,0.39669421487603335,0.009680000000000133,1.6000000000000514
forex_clean_eurusd_h1_minor_partial123_021,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,21,24,2026-03-13 00:00:00,2026-03-13 16:00:00,2026-03-13 19:00:00,2026-03-13 19:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.0023999999999999577,4.033333333333459,0.005710000000000104,2.3791666666667517
forex_clean_eurusd_h1_minor_partial123_022,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bearish,22,25,2026-03-13 04:00:00,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,True,,,,0.009680000000000133,0.5898760330578539,0.007929999999999993,0.8192148760330459
forex_clean_eurusd_h1_minor_partial123_023,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,23,26,2026-03-13 11:00:00,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.005710000000000104,1.3887915936952449,0.0045800000000000285,0.802101576182127
forex_clean_eurusd_h1_minor_partial123_024,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,24,27,2026-03-13 16:00:00,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,0.007929999999999993,0.5775535939470408,0.004229999999999956,0.5334174022698562
forex_clean_eurusd_h1_minor_partial123_025,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bullish,25,28,2026-03-13 23:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,,,,0.0045800000000000285,0.9235807860261855,0.011069999999999913,2.4170305676855555
forex_clean_eurusd_h1_minor_partial123_026,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,26,29,2026-03-16 04:00:00,2026-03-17 04:00:00,2026-03-17 07:00:00,2026-03-17 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.004229999999999956,2.6170212765957515,0.00383,0.9054373522458723
index_gap_aus200_m30_intermediate_partial123_001,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bearish,1,4,2026-03-09 22:30:00,2026-03-10 17:00:00,2026-03-10 18:30:00,2026-03-10 18:30:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,146.29999999999927,0.6971975393028059,62.0,0.4237867395762154
index_gap_aus200_m30_intermediate_partial123_002,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_candidate,bullish,2,5,2026-03-10 07:00:00,2026-03-10 20:00:00,2026-03-10 21:30:00,2026-03-10 21:30:00,True,,,,102.0,0.6078431372549019,104.0,1.0196078431372548
index_gap_aus200_m30_intermediate_partial123_003,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bearish,3,6,2026-03-10 12:00:00,2026-03-11 19:00:00,2026-03-11 20:30:00,2026-03-11 20:30:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,62.0,1.6774193548387097,162.70000000000073,2.6241935483871086
